category,reviews
Pos, films adapted from comic books have had plenty of success   whether they re about superheroes   batman   superman   spawn     or geared toward kids   casper   or the arthouse crowd   ghost world     but there s never really been a comic book like from hell before    for starters   it was created by alan moore   and eddie campbell     who brought the medium to a whole new level in the mid  80s with a 12 part series called the watchmen    to say moore and campbell thoroughly researched the subject of jack the ripper would be like saying michael jackson is starting to look a little odd    the book   or   graphic novel     if you will   is over 500 pages long and includes nearly 30 more that consist of nothing but footnotes    in other words   don t dismiss this film because of its source    if you can get past the whole comic book thing   you might find another stumbling block in from hell s directors   albert and allen hughes    getting the hughes brothers to direct this seems almost as ludicrous as casting carrot top in   well   anything   but riddle me this   who better to direct a film that s set in the ghetto and features really violent street crime than the mad geniuses behind menace ii society    the ghetto in question is   of course   whitechapel in 1888 london s east end    it s a filthy   sooty place where the whores   called   unfortunates     are starting to get a little nervous about this mysterious psychopath who has been carving through their profession with surgical precision    when the first stiff turns up   copper peter godley   robbie coltrane   the world is not enough   calls in inspector frederick abberline   johnny depp   blow   to crack the case    abberline   a widower   has prophetic dreams he unsuccessfully tries to quell with copious amounts of absinthe and opium    upon arriving in whitechapel   he befriends an unfortunate named mary kelly   heather graham   say it isn t so   and proceeds to investigate the horribly gruesome crimes that even the police surgeon can t stomach    i don t think anyone needs to be briefed on jack the ripper   so i won t go into the particulars here   other than to say moore and campbell have a unique and interesting theory about both the identity of the killer and the reasons he chooses to slay    in the comic   they don t bother cloaking the identity of the ripper   but screenwriters terry hayes   vertical limit   and rafael yglesias   les mis   rables   do a good job of keeping him hidden from viewers until the very end    it s funny to watch the locals blindly point the finger of blame at jews and indians because   after all   an englishman could never be capable of committing such ghastly acts    and from hell s ending had me whistling the stonecutters song from the simpsons for days     who holds back the electric car/who made steve guttenberg a star          don t worry   it ll all make sense when you see it    now onto from hell s appearance   it s certainly dark and bleak enough   and it s surprising to see how much more it looks like a tim burton film than planet of the apes did   at times   it seems like sleepy hollow 2      the print i saw wasn t completely finished   both color and music had not been finalized   so no comments about marilyn manson     but cinematographer peter deming   don t say a word   ably captures the dreariness of victorian era london and helped make the flashy killing scenes remind me of the crazy flashbacks in twin peaks   even though the violence in the film pales in comparison to that in the black and white comic    oscar winner martin childs    shakespeare in love   production design turns the original prague surroundings into one creepy place    even the acting in from hell is solid   with the dreamy depp turning in a typically strong performance and deftly handling a british accent    ians holm   joe gould s secret   and richardson   102 dalmatians   log in great supporting roles   but the big surprise here is graham    i cringed the first time she opened her mouth   imagining her attempt at an irish accent   but it actually wasn t half bad    the film   however   is all good    2   00   r for strong violence/gore   sexuality   language and drug content  
Pos, every now and then a movie comes along from a suspect studio   with every indication that it will be a stinker   and to everybody s surprise   perhaps even the studio   the film becomes a critical darling    mtv films   election   a high school comedy starring matthew broderick and reese witherspoon   is a current example    did anybody know this film existed a week before it opened    the plot is deceptively simple    george washington carver high school is having student elections    tracy flick   reese witherspoon   is an over achiever with her hand raised at nearly every question   way   way   high    mr     m     matthew broderick     sick of the megalomaniac student   encourages paul   a popular but slow jock to run    and paul s nihilistic sister jumps in the race as well   for personal reasons    the dark side of such sleeper success is that   because expectations were so low going in   the fact that this was quality stuff made the reviews even more enthusiastic than they have any right to be    you can t help going in with the baggage of glowing reviews   which is in contrast to the negative baggage that the reviewers were likely to have     election   a good film   does not live up to its hype    what makes  election  so disappointing is that it contains significant plot details lifted directly from  rushmore    released a few months earlier    the similarities are staggering    tracy flick    election    is the president of an extraordinary number of clubs   and is involved with the school play    max fischer    rushmore    is the president of an extraordinary number of clubs   and is involved with the school play    the most significant tension of  election  is the potential relationship between a teacher and his student    the most significant tension of  rushmore  is the potential relationship between a teacher and his student    tracy flick is from a single parent home   which has contributed to her drive    max fischer is from a single parent home   which has contributed to his drive    the male bumbling adult in  election    matthew broderick   pursues an extramarital affair   gets caught   and his whole life is ruined    he even gets a bee sting    the male bumbling adult in  rushmore    bill murray   pursues an extramarital affair   gets caught   and his whole life is ruined    he gets several bee stings    and so on    what happened    how is it that an individual screenplay    rushmore    and a novel    election    contain so many significant plot points   and yet both films were probably not even aware of each other   made from two different studios   from a genre   the high school geeks revenge movie   that hadn t been fully formed yet    even so   the strengths of  election  rely upon its fantastic performances from broderick   witherspoon   and newcomer jessica campbell   as paul s anti social sister   tammy    broderick here is playing the mr   rooney role from  ferris bueller    and he seems to be having the most fun he s had since then    witherspoon is a revelation    it s early in the year   it s a comedy   and teenagers have little clout   but for my money   witherspoon deserves an oscar nomination    and once campbell s character gets going   like in her fantastic speech in the gymnasium   then you re won over    one thing that s been bothering me since i ve seen it    there is an extraordinary amount of sexuality in this film    i suppose that   coming from mtv films   i should expect no less        but the film starts off light and airy   like a sitcom    as the screws tighten   and the tensions mount   alexander payne decides to add elements that   frankly   distract from the story    it is bad enough that mr   m doesn t like tracy s determination to win at all costs   but did they have to throw in the student/teacher relationship    even so   there s no logical reason why mr   m has an affair when he does    there s a lot to like in  election    but the plot similarities to  rushmore    and the tonal nosedive it takes as it gets explicitly sex driven   mark this as a disappointment    
Pos, you ve got mail works alot better than it deserves to    in order to make the film a success   all they had to do was cast two extremely popular and attractive stars   have them share the screen for about two hours and then collect the profits    no real acting was involved and there is not an original or inventive bone in it s body   it s basically a complete re shoot of the shop around the corner   only adding a few modern twists      essentially   it goes against and defies all concepts of good contemporary filmmaking    it s overly sentimental and at times terribly mushy   not to mention very manipulative    but oh   how enjoyable that manipulation is    but there must be something other than the casting and manipulation that makes the movie work as well as it does   because i absolutely hated the previous ryan/hanks teaming   sleepless in seattle    it couldn t have been the directing   because both films were helmed by the same woman    i haven t quite yet figured out what i liked so much about you ve got mail   but then again   is that really important    if you like something so much   why even question it    again   the storyline is as cliched as they come    tom hanks plays joe fox   the insanely likeable owner of a discount book chain and meg ryan plays kathleen kelley   the even more insanely likeable proprietor of a family run children s book shop called   in a nice homage   the shop around the corner    fox and kelley soon become bitter rivals because the new fox books store is opening up right across the block from the small business    little do they know   they are already in love with each other over the internet   only neither party knows the other person s true identity    the rest of the story isn t important because all it does is serve as a mere backdrop for the two stars to share the screen    sure   there are some mildly interesting subplots   but they all fail in comparison to the utter cuteness of the main relationship    all of this   of course   leads up to the predictable climax    but as foreseeable as the ending is   it s so damn cute and well done that i doubt any movie in the entire year contains a scene the evokes as much pure joy as this part does    when ryan discovers the true identity of her online love   i was filled with such   for lack of a better word   happiness that for the first time all year   i actually left the theater smiling    
Pos,    jaws   is a rare film that grabs your attention before it shows you a single image on screen    the movie opens with blackness   and only distant   alien like underwater sounds    then it comes   the first ominous bars of composer john williams  now infamous score    dah dum    from there   director steven spielberg wastes no time   taking us into the water on a midnight swim with a beautiful girl that turns deadly    right away he lets us know how vulnerable we all are floating in the ocean   and once   jaws   has attacked   it never relinquishes its grip    perhaps what is most outstanding about   jaws   is how spielberg builds the movie    he works it like a theatrical production   with a first act and a second act    unlike so many modern filmmakers   he has a great deal of restraint   and refuses to show us the shark until the middle of the second act    until then   he merely suggests its presence with creepy   subjective underwater shots and williams  music    he s building the tension bit by bit   so when it comes time for the climax   the shark s arrival is truly terrifying    he doesn t let us get bored with the imagery    the first act opens with police chief martin brody   roy scheider     a new york cop who has taken an easy   peaceful job running the police station on amity island   a fictitious new england resort town where there hasn t been a murder or a gun fired in 25 years    the island is shaken up by several vicious great white shark attacks right before the fourth of july   and the mayor   larry vaughn   murray hamilton     doesn t want to shut down the beaches because the island is reliant on summer tourist money    brody is joined by matt hooper   richard dreyfuss     a young   ambitious shark expert from the marine institute    hooper is as fascinated by the shark as he is determined to help brody stop it    his knowledge about the exact workings of the shark     it s a perfect engine   an eating machine     make it that much more terrifying    when vaughn finally relents   hooper and brody join a crusty old shark killer named quint   robert shaw   on his decrepit boat   the orca   to search for the shark    the entire second act takes place on the orca as the three men hunt the shark   and inevitably   are hunted by it       jaws   is a thriller with a keen sense of humor and an incredible sense of pacing   tension   and horror    it is like ten movies all rolled into one   and it s no wonder it took america by storm in the summer of 1975   taking in enough money to crown it the box office champ of all time   until it was unceremoniously dethroned in 1977 by   star wars        even today   fascination with this film is on par with hitchcock s   psycho     and it never seems to age    although grand new technology exists that makes the technical sequences   including several mechanical sharks   obsolete   none of it could improve the film because it only would lead to overkill    the technical limitations faced by spielberg in 1975 may have actually produced a better film because it forced him to rely on traditional cinematic elements like pacing   characterization   sharp editing   and creative photography   instead of simply dousing the audience with digital shark effects    scheider   dreyfuss   and shaw were known actors at the time   jaws   was made   but none of them had the draw of a robert redford or paul newman    nevertheless   this film guaranteed them all successful careers because each gave an outstanding performance and refused to be overshadowed by the shark    scheider hits just the right notes as a sympathetic husband and father caught in the political quagmire of doing what s right and going against the entire town       it s your first summer here   you know     mayor vaughn warns him    dreyfuss   who had previously been seen in   american graffiti     1973   and   the apprenticeship of duddy kravitz     1974   gives a surprisingly mature   complex performance for someone who had literally only played kids and teenagers    however   most outstanding is the gnarled performance by robert shaw as the movie s captain ahab   a performance sorely overlooked by the academy awards    bordering of parody   shaw plays quint as a grizzled old loner whose machismo borders on masochism    he s slightly deranged   and shaw s performance is almost a caricature    however   there is one scene late in the film   when he and brody and hooper are below deck on the orca comparing scars    quint is drawn into telling the story of his experiences aboard the u   s   s    indianapolis   a navy ship in world war ii that was sunk by the japanese    his tale of floating in the water for more than a week with over 1   000 other men while swarms of sharks slowly devoured them them is actually more hair raising than anything spielberg put on screen    shaw delivers the story in one long take   and it is the best acting in the film    of course   we can t leave out the shark itself   with its black eyes   endless rows of teeth   and insatiable urge to eat   it is basically the epitome of all mankind s fears about what is unknown and threatening in nature    a shark is such a perfect nemesis it is real    having survived sinch the dinosaurs   great whites do exist   they can be as large as the shark in   jaws     and they are a threat    every one of spielberg s subjective underwater shots makes us feel queasy because lets us see how we look to the shark   a bunch of writihing   dangling   completely unprotected legs just ready to be chomped into    the shark in   jaws   was actually a combination of actual footage and five different mechanical sharks   all nicknamed   bruce   by the crew   built to be shot from different angles    many have forgotten   but   jaws   was a sort of precursor to   waterworld     1995     a movie s who soggy production and cost overruns had universal studios worried about a bomb    but   as we can see now   spielberg overcame all the obstacles   and delivered one of the finest primal scare thrillers ever to come out of hollywood    
Pos, moviemaking is a lot like being the general manager of an nfl team in the post salary cap era    you ve got to know how to allocate your resources    every dollar spent on a free agent defensive tackle is one less dollar than you can spend on linebackers or safeties or centers    in the nfl   this leads to teams like the detroit lions   who boast a superstar running back with a huge contract   but can only field five guys named herb to block for him    in the movies   you end up with films like   spawn     with a huge special effects budget but not enough money to hire any recognizable actors    jackie chan is the barry sanders of moviemaking    he spins and darts across the screen like sanders cutting back through the defensive line    watching jackie in operation condor as he drives his motorcycle through the crowded streets of madrid   fleeing an armada of pursuers in identical black compact cars   is reminiscent of sanders running for daylight with the chicago bears in hot pursuit   except that sanders doesn t have to worry about rescuing runaway baby carriages    but like the lions star   jackie doesn t have anybody to block for him    almost every cent that s invested in a jackie chan movie goes for stunts   and as chan does his own stunts   the rest of the money goes to pay his hospital bills    this leaves about 75 cents to pay for things like directors   chan directs     scripts and dubbing and supporting characters   not to mention the hideous title sequence    this also explains why the movie was shot in odd places like morocco and spain       chan s first release in this country     rumble in the bronx     was supposedly set in new york   but was filmed in vancouver   and in the chase scenes the canadian rockies are clearly visible      heck   jackie doesn t even have enough money for a haircut   looks like   much less a personal hairstylist    in condor   chan plays the same character he s always played   himself   a mixture of bruce lee and tim allen   a master of both kung fu and slapstick fu    jackie is sent by the un to retrieve a cache of lost nazi gold in the north african desert   and is chased by a horde of neo nazi sympathizers and two stereotypical arabs   one of the things i like about jackie chan movies   no political correctness      he is joined by three women   who have little to do except scream     jackie   save us !     and misuse firearms    the villain is an old nazi whose legs were broken in the secret base so that he has to be carried everywhere   and he s more pathetic than evil    en route   we have an extended motorcycle chase scene   a hilarious fight in the moroccan version of motel 6 with the neo nazis   and two confrontations with savage natives    once at the secret desert base   there is a long chop socky sequence   followed by the film s centerpiece   a wind tunnel fight that s even better than the one in face/off    this is where the money was spent   on well choreographed kung fu sequences   on giant kevlar hamster balls   on smashed up crates of bananas   and on scorpions    ignore the gaping holes in the plot   how   exactly   if the villain s legs were broken   did he escape from the secret nazi base   and why didn t he take the key with him        don t worry about the production values   or what   exactly   the japanese girl was doing hitchhiking across the sahara    just go see the movie    operation condor has pretentions of being a   raiders of the lost ark   knockoff   but one wonders what jackie could do with the raiders franchise blocking for him    with a lawrence kazdan screenplay   a john williams score   spielberg directing and george lucas producing   condor might be an a+ movie    however   you ve got to go with what you ve got   and what you ve got in jackie chan is something special    a talent that mainstream hollywood should   could   and ought to utilize    
Pos, i must say from the outset that i have never been much of a kurt russell fan    i ve seen some of his films   silkwood   backdraft   unlawful entry   and while he gave adequate performances   i have never been impressed with his work    breakdown   then   is something of a surprise    russell gives a fine performance   as do most of the cast   one that is not upstaged by the action orchestrated in the second half of the film    to say that he holds the film together would not be completely true   but he does it no harm    russell plays jeff   one half of a married couple travelling with his wife amy   kathleen quinlan   cross country to san diego to start a new job and a new life    while journeying through the desert their car breaks down and   left helpless and stranded   jeff waves down a passing truck driver   j   t    walsh   who offers to take them to a nearby diner to call for a tow truck    because of a nasty incident earlier with a couple of ruffians   jeff decides to stay with the car while amy gets help    that   it seems   is the last time jeff   or anyone else   sees her    breakdown has been compared to several movies   george sluizer s the vanishing   the original   hopefully   not his appalling hollywood remake     steven spielberg s duel and any number of hitchcock films    as with these   breakdown does not   for the most part   stray down the conventional path of the american action thriller    jeff does not become a gun toting vigilante on the hunt for his wife   but instead becomes a scared   confused everyman who has no idea what the hell is going on    when we do find out what has happened to amy   it does come as a slight disappointment   if only because it s too early in the film   i for one could have done with an extra twenty minutes or so of mystery and bewilderment   but this affects the film little    russell   as mentioned earlier   is very good in his role   and kathleen quinlan is nowhere near as annoying as she was in apollo 13    j   t    walsh   as the possibly evil truck driver   is terrific   he is one of the best of the fine batch of character actors hollywood doesn t seem to know what to do with   but director jonathan mostow is on the right track here    the reason he makes such a great villain is that he actually looks like a real person   one anyone would be able to trust   which makes the plot that much more believable    breakdown is what hollywood doesn t make enough of   a great thriller with believable characters and scenes that do   indeed   have viewers on the edge of their seats    one of the most genuinely exciting films i ve seen in a long time    
Pos, with the success of the surprise hit alien   directed by ridley scott   a sequel was inevitable    in fact   after watching the first film   a sequel was wanted   particularly by this reviewer    handing over the director s chair to recent box office gem james cameron   who had only made two films previous to this one   pirahna ii   a surprisingly dull film   and terminator   making cameron a household name     the alien series got a face lift of immense proportions    instead of being a suspense/science fiction film   cameron alters the series and changing it into an action picture    what results is one of the most terrifying films ever created    a film like aliens comes along only once in a while   and when it does   audiences are usually unprepared for it    i never saw this movie in theaters   but i wish i could have    the terror and fright must have been unimaginable   most likely with audiences members literally shrieking in fear    aliens is an action film unlike any i have ever seen    with a science fiction plot   cameron gives aliens added testosterone   pumping up the action and fire power from the original film    in fact   aliens is one of those few sequels which tops the original    perhaps what makes the alien series so impressive is the hero  or heroine   as the case may be    never have we had a more sympathetic hero in an action film   and never have i seen such an impressive acting job done by the main character    sigourney weaver is possibly the only actress who could play this character and make her realistic enough for us to care about    placing a woman in these situations would sometimes seem unusual   but because of weaver s presence   a woman is the only suitable hero    aliens begins 57 years after alien ended    lieutenant ellen ripley   weaver   is discovered in hypersleep on the nostromo and is awakened    she explains how she is the only survivor of her past encounter with the aliens   but   the company   is doubtful    they explain that a colony of families is flourishing on the same planet from which she just left    despite stern warnings from ripley   the company remains rigid and won t call the families back    however   when the company loses contact with the colony   ripley s story seems much more feasible    one of the company s directors   carter burke   paul reiser     wants to gather a team to travel to the planet    this team includes a buff private vasquez   jenette goldstein     a questionable corporal hicks   michael biehn     and a loyal android bishop   lance henriksen      burke tags along with ripley as they fly to the planet in order to locate the members of the colony    arriving on the planet   the team finds most of the human life extinguished in a cocoon type environment    the only survivor is 12 year old rebecca   newt   jorden   carrie henn      ripley finds this a chance to be the mother she never had the opportunity to become   and she becomes newt s surrogate mother    ripley and newt are the only ones who knows what has happened   and soon   all hell breaks loose    aliens not only multiplies the thrills and suspense from scott s version   it also multiplies the number of aliens in general    alien focused on one alien in particular which systematically killed each crew member   except ripley   who managed to jettison the alien out of the nostromo    aliens focuses on an entire race of these aliens   and as a result   the chills are incredibly heightened    then again   this is james cameron   the guy who has given us true lies and terminator 2   judgment day    he is the best action director out there   topping renny harlin   who directed cliffhanger     and only he could create something as terrifying as this film    it seems that every alien film seems to have some memorable scene or scenes   and aliens has the motherload    with perhaps one of the most astonishing endings ever created for an action film   aliens climax never seems to hit until the viewer is nearly pushed to extreme exhaustion    i can t recall another film ever to sustain this level of intensity throughout   never dropping for a moment    just when you think the movie is over   something else will occur   and it starts right back up again    with a seemingly endless conclusion   aliens ends with one of the greatest moments in film history    this scene is usually the one remembered most from the film   as lieutenant ripley steps into one of the lifting machines to fight the alien queen    using flawless special effects   the climax is exhausting   leaving any audience member drained from extreme anxiety    of course   for a film of this genre to work properly   the technical aspects must be realistic enough for us to believe what we see    aliens is completely realistic   even a decade after its initial release    the special effects are wonderfully seamless   with a terrifying alien to go with them    one of the most overlooked aspects of this film is the music   composed by cameron regular james horner    horner has created a terrific score   receiving an oscar nomination for his work    not only that   horner has also created one of the best scores for any action film   or science fiction film ever   and that includes 2001   a space odyssey   which was mainly a compilation of well known composers      in fact   the climax music is also some of the most recognized of film music    the production design is incredible   which also happened to snag a nomination from the academy    dark corridors lit by red lights are very impressive   but more impressive is the amount of terror which arises from well lit locations    normally a film will be very dark in order to scare a viewer   aliens uses lights to scare the viewer    then   of course   is the cinematography   which uses point of view shots   along with video feeds in order to build suspense    some of the scariest scenes involve the perspective of ripley    surprisingly   the acting is not only above average for this genre   but some of the best    sigourney weaver received an oscar nomination for her portrayal of ripley   incorporating the right amount of sympathy into her hard edged persona    weaver soars above the rest in this film   but she is supposed to    carrie henn gives an above average performance for a child   developing a three dimensional character from her quiet attitude    lance henriksen is terrific as bishop   showing that androids don t always have to be flat characters    jenette goldstein shows a fair amount of enthusiasm with her role   and steals several scenes of her own   though her personality becomes slightly annoying when she isn t fighting      michael biehn gives a very nice performance in the most obligatory role of the film    however   biehn does a good job   making it seem original again    paul reiser may seem like an odd choice to play the sleazy corporate director   but reiser manages to pull it off quite well   however   i still see him as paul on tv s   mad about you        a very good cast   which also includes bill paxton and william hope   highlights this action film   making it stand out from others    aliens is rightfully rated r for violence   gore   language   and terror    aliens is sort of the redefining moment of the science fiction genre   as alien was more of a suspense/horror film    aliens pumps up the stakes   and cameron directs it with professional quality    cameron certainly knows how to make a good action film   but here he proves how he can create some truly horrific moments on screen    technically astonishing   aliens  only flaw is small characters who are only there to get killed    aside from this   you probably won t experience anything like aliens for quite a while    
Pos, ingredients   neophyte lawyer   legal situations   corrupt insurance company    synopsis   rudy baylor   matt damon   is an ethical kid fresh out of law school who must juggle three legal situations at the same time    rudy s girlfriend is attacked by her violent husband   rudy s elderly landlady wants to arrange her will so that her children are excluded   and   the family of rudy s friend with leukemia is suing the corrupt insurance company that wouldn t pay for a bone marrow transplant    rudy is new to being a lawyer and is thoroughly outgunned   but luckily he is aided by a sleazy ambulance chaser   danny devito   who has failed the bar exam six times as well as by the kindly presiding judge   danny glover      jon voight plays leo f   drummond   the intimidating and arrogant leader of the all powerful insurance company s team of lawyers who will do anything to oppose justice    will rudy defeat leo    will he enjoy being a lawyer    opinion   the good news is that this movie has a happy ending   and it features a guy trying to do the right thing    director francis ford coppola does this film a little differently than the stereotypical law movie    in the typical lawyer movie there s one big case and the movie focuses on solving it   and somewhere along the line surprise witnesses and motives turn up before the good guy wins   after lots of gripping courtroom drama      however   coppola s movie is deliberately more low key     the rainmaker  plays out like a personality sketch of young rudy as he gets emotionally involved with and tries to save various little quirky side characters    in the background rudy s voice narrates his feelings and makes half cynical jokes about the legal profession in general    two factors combine to make this movie less heavy than it can be    first   rudy s time is split juggling three cases   rather than concentrating on a single high stakes case    also   rudy s use of voice narration in place of acting makes the film lose some of its dramatic edge    the end result is an entertaining low key law movie where the good guys win   and rudy narrates his way into coming of age    
Pos, in one of my many videos i have attained from the local library   casablanca was my third classic in some weeks    the others being citizen kane and vertigo   yes   i am trying to see as many of afi s greatest movies ever made as i can      but   casablanca stood out from the rest for me   it was actually watchable    what most hail as the greatest american film ever   casablanca isn t so much a love story as a political frenzy with a love triangle thrown in    it seems that star humphry bogart spend about 85 percent of the movie with various leaders of the nation instead of with ingred bergman    that annoyed me   as did the ending    why didn t the plan turn around   !    surprisingly   i enjoyed the film    i liked bogart s character and his acting   not over the top as most actors in his era      i once read about if you had a choice to be in a movie   which one would it be   and a women said casablanca    at first i was thinking to myself   why      then   as i watched the film again   i understood why    the movie is very well done and the script top notch   although i doubt i understood more than half of the political mumbo jumbo    casablanca is   in my mind   no classic   like solaris     but it is a good film and stylishly shot    hey   hollywood   how about this   a remake with harrison ford and anne heche    now that would be a classic    
Pos, capsule   suprisingly more of a comedy than a straight action flick   which isn t necessarily a bad thing    not exactly oscar caliber   but one helluva bullet riddled good time    extended review   you know   i remember when hitmen were evil   murderous scum    alas   the times are a changin     in a recent string of movies   hitmen are suddenly wise  cracking   fun loving killers with hearts    this brings us to hong kong director kirk wong s first american feature   the big hit    oddly enough   about the same time last year a similar film   grosse point blank   was released    advertised as a quirky comedy with hints of action   it turned out to have a suprising dosage of it    the big hit is quite the opposite    it was hyped as   the new film from producer john woo     so one would it expect lots of stylized killing and action    however   there s a sore lack of it   which is about the only thing wrong with the big hit    the film starts out with mel smiley and his cohorts doing a job on a white slaver    mel   played by mark wahlberg in a dopey   milquetoast role   is a killing machine   he flips   spins   even breakdances whilst popping caps    sadly   he doesn t get a chance to do much of it    except for the beginning set piece and the last 20 twenty minutes or so   the film is in comedy mode    the action   at least what there is of it   is prime cut stuff    wong   after numerous hong kong features   makes quite a nice u   s   debut    however   his pacing is a bit off   with the action sequences only bookending the movie and not lasting long enough    they start off electrifying and fresh   but just kinda stop    normally   this would hamper a movie to the point of being unenjoyable    luckily   we have ben ramsey s screenplay   a bitingly funny piece of work    the only problem is there might be too much humor   one joke makes you laugh so hard you miss the next few    some of best gags include an oriental film maker down on his luck and one of mel s hitmen pals that has just discovered onanism    the only problem is how some of the minor characters are handled   some being there only for a laugh   which sometimes works   sometimes doesn t    overall   the big hit may have it s flaws   but it makes up for them in a stylishly directed   gut wrenchingly funny joyride    definately one of the better ways to spend two hours    
